Nombre,PApellido,SApellido,Grado,Especialidad,Areas,Sexo,Pais,Estado,Residencia,UEstudio,UTrabajo,PagPersonal,PagInstitucional,Citas,IndiceH,IndiceI10,Articulos,GScholar,ResearchG,ORCID,SIPIPN
Sergio Iván,López,Ortega,Doctor,En Ciencias,"Probabilidad, colas, sistema de partículas interactivas",Másculino,México,Ciudad de México,México,UNAM,FC/UNAM,https://sistemas.fciencias.unam.mx/~silo/,https://www.fciencias.unam.mx/directorio/58878,19,3,0,10,https://scholar.google.com/citations?user=zLsJa2sAAAAJ&hl=es&oi=ao,,,
Fernando,Baltazar,Larios,Doctor,En Ciencias,Probabilidad,Másculino,México,Ciudad de México,México,UNAM,FC/UNAM,http://actuarialscience.com.mx/faculty/dr-fernando-baltazar-larios/,http://academicos.fciencias.unam.mx/fernandobaltazar,29,2,1,16,https://scholar.google.com/citations?user=GCvfZnsAAAAJ&hl=es&oi=ao,,,
Lizbeth,Peñalosa,Velasco,Maestra,En Ciencias,"Teoria de la medida, modelos probabilisticos",Femenino,México,Ciudad de México,México,UNAM,FC/UNAM,https://www.researchgate.net/profile/Lizbeth-Penaloza,https://www.fciencias.unam.mx/directorio/53348,,,,,https://scholar.google.com/citations?hl=es&user=bFGlbdIAAAAJ,,,
Alejandra,Foncesa,Morales,Doctora,En Matemáticas,"Teoría de Control Óptimo, Teoría de Juegos",Femenino,México,Ciudad de México,México,CINVESTAV,IMATE/UNAM,,https://www.matem.unam.mx/acerca-de/ingresos-y-visitantes/alejandra-fonseca-2019,17,2,,4,,https://www.researchgate.net/profile/Alejandra-Fonseca-Morales,,
Carmen Geraldi,Higuera,Chan,Doctora,En Ciencias,"Teoría de Control Estocástico., Teoría de campo medio, Teoría de control adaptado, Juegos estocásticos",Femenino,México,Sonora,México,UNISON,UNISON,https://buhos.uson.mx/PureXML/PlantaDocente/Ver/2424,https://mcd.unison.mx/wp-content/uploads/2020/04/CV_CarmenGHC.pdf,,,,,,https://www.researchgate.net/profile/Carmen-Higuera-Chan-2,,
Beatris Adriana,Escobedo,Trujillo,Doctora,En Ciencias con especialización en Matemáticas,"Teoría de control, Juegos dinámicos, Procesos estocásticos, Análisis estadístico, Modelación matemática.",Femenino,México,Veracruz,México,CINVESTAV,Universidad Veracruzana,,https://www.uv.mx/coatza/macte/dra-beatris-adriana-escobedo-trujillo/,55,5,,19,,https://www.researchgate.net/profile/Beatris-Escobedo-Trujillo-2,,
Lonardo Ramiro,Laura,Guarachi,,,Reforestación,Másculino,México,Ciudad de México,México,CINVESTAV,IPN,,https://ipn.elsevierpure.com/es/persons/leonardo-ramiro-laura-guarachi,6,2,1,2,,,,https://ipn.elsevierpure.com/es/persons/leonardo-ramiro-laura-guarachi
Mario Miguel,Ojeda,Ramírez,Doctor,En Ciencias Matemáticas,"Modelación estadística, Educación estadística, Innovación educativa en estadística, TIC y estadística, TIC en las IES",Másculino,México,Veracruz,México,Universidad de la Habana,Universidad Veracruzana,http://www.researchagate.net/profile/Mario_Ojeda,https://www.uv.mx/personal/mojeda/resumen-curricular/,731,14,22,134,https://scholar.google.com/citations?hl=es&user=5nC2z38AAAAJ,,,
Armando J,Martínez,Chacón,Doctor,,"Interacciones ecológicas, ecofisiología comportamiento, bioestadística",Másculino,México,Veracruz,México,Universidad Veracruzana,Universidad Veracruzana,,https://www.uv.mx/cib/personal-academico/dr-armando-jesus-martinez-chacon/,721,16,22,73,https://scholar.google.com/citations?hl=es&user=VJRk5DYAAAAJ,,,
Héctor F.,Coronel,Brizio,Doctor,En Estadística Matemática,"Física Estadística, Econofísica, Sistemas Complejos, Probabilidad y Estadística",Másculino,México,Veracruz,México,Universidad Simon Fraser,Universidad Veracruzana,,https://www.uv.mx/ffia/profes/dr-hector-f-coronel-brizio/,503,8,7,38,https://scholar.google.com/citations?hl=es&user=BVS2U5kAAAAJ,,,
